IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9240914,CHEM,5998,Chemical/Oil Products Tanker,Small Tanker,2000,UNKNOWN,Cook islands (COK),IRS,14/12/2020,, , ,,
9378321,SONGA CRYSTAL,8485,Crude Oil Tanker,Handy,2006,UNKNOWN,Malta (MLT),KR,23/10/2020,, , ,,
9857779,GANG NING,6194,Oil Products Tanker,Small Tanker,2018,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9200603,GEUM GANG,6294,Chemical/Oil Products Tanker,Small Tanker,2000,Jeil International,Korea (Republic of) (KOR),KR,27/2/2020,, , ,,
9466611,THERASIA M,6444,Chemical/Oil Products Tanker,Small Tanker,2011,Augusta Due,Italy (ITA),BV,22/2/2016,, , ,,
9255969,LINK OCEAN 1,6489,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Panama (PAN),KR,6/9/2016,, , ,,
9473925,SONGA JADE,11259,Crude Oil Tanker,Handy,2009,UNKNOWN,Malta (MLT),KR,2/7/2019,, , ,,
9902495,MAO HUA 6,6502,Oil Products Tanker,Small Tanker,2019,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9910521,BEI HAI XIN XI WANG,11459,Crude Oil Tanker,Handy,2021,Shanghai North Sea Shipping,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9444455,SONGA PEARL,11472,Crude Oil Tanker,Handy,2008,UNKNOWN,Malta (MLT),KR,21/8/2018,, , ,,
9444467,SONGA SAPPHIRE,11472,Crude Oil Tanker,Handy,2008,UNKNOWN,Malta (MLT),KR,20/9/2018,, , ,,
8531718,CHANG FENG YOU 11,6509,Oil Products Tanker,Small Tanker,2015,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9261841,SPM ENDURANCE,6516,Chemical/Oil Products Tanker,Small Tanker,2003,Equatorial Marine,Liberia (LBR),BV,5/3/2018,, , ,,
9221803,ARBOL,6519,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Panama (PAN),LRS,9/11/2016,, , ,,
9286451,ALPHA,6522,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Liberia (LBR),ABS,3/2/2020,, , ,,
9106651,PALU SIPAT/PERTAMINA 1025,13964,Crude Oil Tanker,Handy,2000,Pertamina,Indonesia (IDN),#N/A,#N/A,, , ,,
9808467,BELUGA PACIFIC,14876,Crude Oil Tanker,Handy,2018,PCL Tankers Pte Ltd,Singapore (SGP),ABS,25/1/2018,, , ,,
9903528,CHANG JI ZHOU,16363,Crude Oil Tanker,Handy,2022,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9204764,SEATURBOT,21353,Crude Oil Tanker,Handy,2000,German Tanker Shipping,Comoros (COM),NV,26/6/2020,, , ,,
9167174,KIARA,22181,Crude Oil Tanker,Handy,2000,SCORPIO TANKERS,Liberia (LBR),LRS,2/12/2015,, , ,,
9305403,BRAVO,6522,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Liberia (LBR),NV,11/8/2019,, , ,,
9167162,NAWRAS,22181,Crude Oil Tanker,Handy,2000,Oceangold Tankers,Gabon (GAB),NV,30/12/2020,, , ,,
9307437,BTS CAMILLA,6522,Chemical/Oil Products Tanker,Small Tanker,2005,BTS Tankers,Singapore (SGP),ABS,11/5/2018,, , ,,
9167150,OASIS II,22181,Crude Oil Tanker,Handy,2000,UNKNOWN,Panama (PAN),CRS,14/5/2021,, , ,,
9214757,OLYMPUS I,22184,Crude Oil Tanker,Handy,2001,Gemilang Bina Lintas Tirta,Indonesia (IDN),RINA,2/9/2016,, , ,,
9228849,SC EXPRESS LV,23217,Crude Oil Tanker,Handy,2001,SOECHI GROUP,Indonesia (IDN),KR,5/6/2016,, , ,,
9334430,DOMENICO IEVOLI,6522,Chemical/Oil Products Tanker,Small Tanker,2006,Marnavi,Italy (ITA),ABS,24/3/2020,, , ,,
9890006,YOU PIN 1,6542,Oil Products Tanker,Small Tanker,2019,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9510618,ARNAB,6601,Oil Products Tanker,Small Tanker,2008,UNKNOWN,Panama (PAN),NV,27/10/2021,, , ,,
9397030,GLOBAL HARMONY,6601,Oil Products Tanker,Small Tanker,2007,UNKNOWN,Cook islands (COK),RINA,29/6/2017,,YES, ,,YES
