imo,name,ship_type,build_year,gross_tonnage,DWT
7303803,,Chemical Tanker,1973,1757,3003
7408873,,Chemical/Oil Products Tanker,1975,1676,2507
8106496,,Oil Products Tanker,1981,962,1731
8122347,,Crude Oil Tanker,1982,1914,3150
8126070,,Oil Products Tanker,1982,3508,6031
8223050,,Oil Products Tanker,1983,1305,1550
8231057,,Oil Products Tanker,1975,3463,4125
8312497,,Oil Products Tanker,1983,2998,4999
8319952,,Bunkering Tanker,1983,335,710
8517243,,Bunkering Tanker,1985,498,640
8518572,,Oil Products Tanker,1986,7090,10628
8519966,,LPG Tanker,1987,47249,51466
8604917,,Oil Products Tanker,1986,748,1206
8605026,,Oil Products Tanker,1986,1113,1966
8613360,,Oil Products Tanker,1986,996,2101
8660313,,Oil Products Tanker,2005,2808,3565
8691702,,Oil Products Tanker,2003,2228,3398
8700096,,Oil Products Tanker,1988,2966,2976
8705539,,Oil Products Tanker,1987,1995,2889
8712362,,Oil Products Tanker,1987,1220,2750
8720436,KUM UN SAN,oil tanker,1988,1023,2070
8791667,,Oil Products Tanker,1996,2955,4983
8806321,,Bitumen Tanker,1988,992,1266
8808525,BRONCO,Oil Products Tanker,2005,22950,39999
8817693,,LPG Tanker,1990,4086,4828
8818207,,LPG Tanker,1990,42465,49701
8818219,,LPG Tanker,1990,44493,49996
8818843,,LPG Tanker,1990,19643,29271
8821761,,Oil Products Tanker,1991,4614,7070
8898740,,Bunkering Tanker,1995,841,1250
8909472,MENA,crude oil tanker,1991,29506,45425
8912546,,LPG Tanker,1992,42304,49301
8912558,,LPG Tanker,1990,42465,49618
8916293,,Chemical Tanker,1990,1595,1150
8917467,,Crude Oil Tanker,1992,29506,45425
8917807,,LPG Tanker,1992,45029,56864
8966535,,Oil Products Tanker,1985,815,1205
8982888,GLOBAL EMERALD,Oil Products Tanker,2003,6883,10000
9000883,,LPG Tanker,1991,42286,49345
9002491,,LPG Tanker,1992,45029,56945
9002908,,LPG Tanker,1992,47597,64220
9003550,,Oil Products Tanker,1990,4472,7758
9004815,,Bitumen Tanker,1991,2920,4059
9005053,,LPG Tanker,1993,44868,49874
9005065,,LPG Tanker,1993,44868,49880
